
4GTV,#genre#
民視第一台,http://192.168.31.4:19950/playlist?channel=%E6%B0%91%E8%A6%96%E7%AC%AC%E4%B8%80%E5%8F%B0&token=3737
民視台灣台,http://192.168.31.4:19950/playlist?channel=%E6%B0%91%E8%A6%96%E5%8F%B0%E7%81%A3%E5%8F%B0&token=3737
民視,http://192.168.31.4:19950/playlist?channel=%E6%B0%91%E8%A6%96&token=3737
大愛電視,http://192.168.31.4:19950/playlist?channel=%E5%A4%A7%E6%84%9B%E9%9B%BB%E8%A6%96&token=3737
中視,http://192.168.31.4:19950/playlist?channel=%E4%B8%AD%E8%A6%96&token=3737
華視,http://192.168.31.4:19950/playlist?channel=%E8%8F%AF%E8%A6%96&token=3737
三立綜合台,http://192.168.31.4:19950/playlist?channel=%E4%B8%89%E7%AB%8B%E7%B6%9C%E5%90%88%E5%8F%B0&token=3737
客家電視台,http://192.168.31.4:19950/playlist?channel=%E5%AE%A2%E5%AE%B6%E9%9B%BB%E8%A6%96%E5%8F%B0&token=3737
八大綜藝台,http://192.168.31.4:19950/playlist?channel=%E5%85%AB%E5%A4%A7%E7%B6%9C%E8%97%9D%E5%8F%B0&token=3737
TVBS精采台,http://192.168.31.4:19950/playlist?channel=TVBS%E7%B2%BE%E9%87%87%E5%8F%B0&token=3737
愛爾達寵物運動台,http://192.168.31.4:19950/playlist?channel=%E6%84%9B%E7%88%BE%E9%81%94%E5%AF%B5%E7%89%A9%E9%81%8B%E5%8B%95%E5%8F%B0&token=3737
靖天綜合台,http://192.168.31.4:19950/playlist?channel=%E9%9D%96%E5%A4%A9%E7%B6%9C%E5%90%88%E5%8F%B0&token=3737
靖天日本台,http://192.168.31.4:19950/playlist?channel=%E9%9D%96%E5%A4%A9%E6%97%A5%E6%9C%AC%E5%8F%B0&token=3737
新唐人亞太台,http://192.168.31.4:19950/playlist?channel=%E6%96%B0%E5%94%90%E4%BA%BA%E4%BA%9E%E5%A4%AA%E5%8F%B0&token=3737
ARIRANG阿里郎頻道,http://192.168.31.4:19950/playlist?channel=ARIRANG%E9%98%BF%E9%87%8C%E9%83%8E%E9%A0%BB%E9%81%93&token=3737
Global Trekker,http://192.168.31.4:19950/playlist?channel=Global%20Trekker&token=3737
原住民族電視台,http://192.168.31.4:19950/playlist?channel=%E5%8E%9F%E4%BD%8F%E6%B0%91%E6%97%8F%E9%9B%BB%E8%A6%96%E5%8F%B0&token=3737
LiveABC互動英語頻道,http://192.168.31.4:19950/playlist?channel=LiveABC%E4%BA%92%E5%8B%95%E8%8B%B1%E8%AA%9E%E9%A0%BB%E9%81%93&token=3737
達文西頻道,http://192.168.31.4:19950/playlist?channel=%E9%81%94%E6%96%87%E8%A5%BF%E9%A0%BB%E9%81%93&token=3737
ELTV生活英語台,http://192.168.31.4:19950/playlist?channel=ELTV%E7%94%9F%E6%B4%BB%E8%8B%B1%E8%AA%9E%E5%8F%B0&token=3737
Nick Jr. 兒童頻道,http://192.168.31.4:19950/playlist?channel=Nick%20Jr.%20%E5%85%92%E7%AB%A5%E9%A0%BB%E9%81%93&token=3737
尼克兒童頻道,http://192.168.31.4:19950/playlist?channel=%E5%B0%BC%E5%85%8B%E5%85%92%E7%AB%A5%E9%A0%BB%E9%81%93&token=3737
DreamWorks 夢工廠動畫,http://192.168.31.4:19950/playlist?channel=DreamWorks%20%E5%A4%A2%E5%B7%A5%E5%BB%A0%E5%8B%95%E7%95%AB&token=3737
靖天卡通台,http://192.168.31.4:19950/playlist?channel=%E9%9D%96%E5%A4%A9%E5%8D%A1%E9%80%9A%E5%8F%B0&token=3737
靖洋卡通Nice Bingo,http://192.168.31.4:19950/playlist?channel=%E9%9D%96%E6%B4%8B%E5%8D%A1%E9%80%9ANice%20Bingo&token=3737
MOMO親子台,http://192.168.31.4:19950/playlist?channel=MOMO%E8%A6%AA%E5%AD%90%E5%8F%B0&token=3737
鏡電視新聞台,http://192.168.31.4:19950/playlist?channel=%E9%8F%A1%E9%9B%BB%E8%A6%96%E6%96%B0%E8%81%9E%E5%8F%B0&token=3737
東森新聞台,http://192.168.31.4:19950/playlist?channel=%E6%9D%B1%E6%A3%AE%E6%96%B0%E8%81%9E%E5%8F%B0&token=3737
華視新聞,http://192.168.31.4:19950/playlist?channel=%E8%8F%AF%E8%A6%96%E6%96%B0%E8%81%9E&token=3737
民視新聞台,http://192.168.31.4:19950/playlist?channel=%E6%B0%91%E8%A6%96%E6%96%B0%E8%81%9E%E5%8F%B0&token=3737
三立新聞iNEWS,http://192.168.31.4:19950/playlist?channel=%E4%B8%89%E7%AB%8B%E6%96%B0%E8%81%9EiNEWS&token=3737
TVBS新聞,http://192.168.31.4:19950/playlist?channel=TVBS%E6%96%B0%E8%81%9E&token=3737
東森財經新聞台,http://192.168.31.4:19950/playlist?channel=%E6%9D%B1%E6%A3%AE%E8%B2%A1%E7%B6%93%E6%96%B0%E8%81%9E%E5%8F%B0&token=3737
中視新聞,http://192.168.31.4:19950/playlist?channel=%E4%B8%AD%E8%A6%96%E6%96%B0%E8%81%9E&token=3737
中天新聞台,http://192.168.31.4:19950/playlist?channel=%E4%B8%AD%E5%A4%A9%E6%96%B0%E8%81%9E%E5%8F%B0&token=3737
Bloomberg TV,http://192.168.31.4:19950/playlist?channel=Bloomberg%20TV&token=3737
寰宇新聞台,http://192.168.31.4:19950/playlist?channel=%E5%AF%B0%E5%AE%87%E6%96%B0%E8%81%9E%E5%8F%B0&token=3737
