 
央视1,#genre#

CCTV-01咪咕,http://mg.cttv.vip/608807420
CCTV-02咪咕,http://mg.cttv.vip/631780532
CCTV-03咪咕,http://mg.cttv.vip/624878271
CCTV-04咪咕,http://mg.cttv.vip/631780421
CCTV-05咪咕,http://mg.cttv.vip/641886683
CCTV-5+咪咕,http://mg.cttv.vip/641886773
CCTV-06咪咕,http://mg.cttv.vip/624878396
CCTV-07咪咕,http://mg.cttv.vip/673168121
CCTV-08咪咕,http://mg.cttv.vip/624878356
CCTV-09咪咕,http://mg.cttv.vip/673168140
CCTV-10咪咕,http://mg.cttv.vip/624878405
CCTV-11咪咕,http://mg.cttv.vip/667987558
CCTV-12咪咕,http://mg.cttv.vip/673168185
CCTV-13咪咕,http://mg.cttv.vip/608807423
CCTV-14咪咕,http://mg.cttv.vip/624878440
CCTV-15咪咕,http://mg.cttv.vip/673168223
CCTV-16咪咕,http://58.255.201.70:10443/tsfile/live/1001_1.m3u8
CCTV-17咪咕,http://mg.cttv.vip/673168256
凤凰资讯,http://rihou.cc:555/tv/[Pd]%E5%87%A4%E5%87%B0%E8%B5%84%E8%AE%AF
凤凰中文,http://rihou.cc:555/tv/[Pd]%E5%87%A4%E5%87%B0%E4%B8%AD%E6%96%87
凤凰香港,http://rihou.cc:555/tv/[Pd]%E5%87%A4%E5%87%B0%E9%A6%99%E6%B8%AF
凤凰资讯,https://cdn.qd.je/163189/fhzx
凤凰中文,https://cdn.qd.je/163189/fhzw
凤凰香港,https://cdn.qd.je/163189/fhhk
凤凰资讯,https://iptv.aibo.lol/qd/fhzx.m3u8
凤凰中文,https://iptv.aibo.lol/qd/fhzw.m3u8
凤凰香港,https://iptv.aibo.lol/qd/fhhk.m3u8


央视2,#genre#

CCTV1,http://101.35.240.114:88/live.php?id=CCTV1
CCTV2,http://101.35.240.114:88/live.php?id=CCTV2
CCTV3,http://101.35.240.114:88/live.php?id=CCTV3
CCTV4,http://101.35.240.114:88/live.php?id=CCTV4
CCTV5,http://101.35.240.114:88/live.php?id=CCTV5
CCTV5+,http://101.35.240.114:88/live.php?id=CCTV5p
CCTV6,http://101.35.240.114:88/live.php?id=CCTV6
CCTV7,http://101.35.240.114:88/live.php?id=CCTV7
CCTV8,http://101.35.240.114:88/live.php?id=CCTV8
CCTV9,http://101.35.240.114:88/live.php?id=CCTV9
CCTV10,http://101.35.240.114:88/live.php?id=CCTV10
CCTV11,http://101.35.240.114:88/live.php?id=CCTV11
CCTV12,http://101.35.240.114:88/live.php?id=CCTV12
CCTV13,http://101.35.240.114:88/live.php?id=CCTV13
CCTV14,http://101.35.240.114:88/live.php?id=CCTV14
