Tokyo,#genre#
NHK G HD (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=hdgd01
NHK E HD (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=hdgd02
NTV HD (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=hdgd03
TBS HD (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=hdgd04
Fuji TV HD (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=hdgd05
TV Asahi HD (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=hdgd06
TV Tokyo HD (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=hdgd07
TOKYO MX1 HD (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=hdgd08

NHK G Osaka (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=gx06
MBS (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=gx01
ABC (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=gx02
Kansai TV (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=gx03
ytv (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=gx04
TV Osaka (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=gx05
SUN (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=gx07

NHK BS (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs11
BS NTV (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs02
BS Asahi (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs03
BS TBS (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs04
BS TV Tokyo (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs05
BS Fuji (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs06
NHK BS4K (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs01
WOWOW Prime (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs12
WOWOW Cinema (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs07
WOWOW Live (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs20
BS 10 Star Channel (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs08
JSport 1 (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs18
JSport 2 (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs19
JSport 3 (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs21
JSport 4 (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs22
Green Channel (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs14
Animax (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs15
Nihon Eiga Senmon (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs23
Sky A (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs01
Fishing Vision (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs25
Disney Channel (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs24
JCOM BS (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs31

Jidaigeki Senmon (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs04
Toei Channel (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs27
Eisei Gekijo (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs22
Family Gekijyo (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs20
Movie Plus (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs14
Home Drama Channel (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs05
Tabi Channel (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs12
Fuji TV Next (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs26
Sky A  (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs01
GAORA SPORTS (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs17
Golf Network (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs03
Nittele G+ (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs02
Mondo TV (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs21
Channel Ginga (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs29
Space Shower TV (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=bs26
Music Japan TV (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs06
Kayo Pops (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs13
MTV (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs18
LaLa TV (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs19
Takarazuka Sky Stage (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs28
Kids Staton TV (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs07
Cartoon Network (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs25
National Geographic Japan (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs10
Disney Junior (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs23
Discovery Channel (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs08
Animal Planet (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs24
History (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs09
CNNj (Primehome),https://naori-test.netgenx.site/pxx.php?shk_cid=cs16
