
央视YSP,#genre#

CCTV-1高清,http://192.168.31.4:1217/yspios.php?id=cctv1
CCTV-2高清,http://192.168.31.4:1217/yspios.php?id=cctv2
CCTV-3高清,http://192.168.31.4:1217/yspios.php?id=cctv3
CCTV-4高清,http://192.168.31.4:1217/yspios.php?id=cctv4
CCTV-5高清,http://192.168.31.4:1217/yspios.php?id=cctv5
CCTV-5+高清,http://192.168.31.4:1217/yspios.php?id=cctv5p
CCTV-6高清,http://192.168.31.4:1217/yspios.php?id=cctv6
CCTV-7高清,http://192.168.31.4:1217/yspios.php?id=cctv7
CCTV-8高清,http://192.168.31.4:1217/yspios.php?id=cctv8
CCTV-9高清,http://192.168.31.4:1217/yspios.php?id=cctv9
CCTV-10高清,http://192.168.31.4:1217/yspios.php?id=cctv10
CCTV-11高清,http://192.168.31.4:1217/yspios.php?id=cctv11
CCTV-12高清,http://192.168.31.4:1217/yspios.php?id=cctv12
CCTV-13高清,http://192.168.31.4:1217/yspios.php?id=cctv13
CCTV-14高清,http://192.168.31.4:1217/yspios.php?id=cctv14
CCTV-15高清,http://192.168.31.4:1217/yspios.php?id=cctv15
CCTV-16高清,http://192.168.31.4:1217/yspios.php?id=cctv16
CCTV-16(4K),http://192.168.31.4:1217/yspios.php?id=cctv164k
CCTV-17高清,http://192.168.31.4:1217/yspios.php?id=cctv17
CCTV-4K,http://192.168.31.4:1217/yspios.php?id=cctv4k
CCTV-8K,http://192.168.31.4:1217/yspios.php?id=cctv8k

CCTV风云剧场频道,http://192.168.31.4:1217/yspios.php?id=cctvfyjc
CCTV第一剧场频道,http://192.168.31.4:1217/yspios.php?id=cctvdyjc
CCTV怀旧剧场频道,http://192.168.31.4:1217/yspios.php?id=cctvhjjc
CCTV世界地理频道,http://192.168.31.4:1217/yspios.php?id=cctvsjdl
CCTV风云音乐频道,http://192.168.31.4:1217/yspios.php?id=cctvfyyy
CCTV兵器科技频道,http://192.168.31.4:1217/yspios.php?id=cctvbqkj
CCTV风云足球频道,http://192.168.31.4:1217/yspios.php?id=cctvfyzq
CCTV高尔夫·网球频道,http://192.168.31.4:1217/yspios.php?id=cctvgeqwq
CCTV女性时尚频道,http://192.168.31.4:1217/yspios.php?id=cctvnxss
CCTV央视文化精品频道,http://192.168.31.4:1217/yspios.php?id=cctvyswhjp
CCTV央视台球频道,http://192.168.31.4:1217/yspios.php?id=cctvystq
CCTV电视指南频道,http://192.168.31.4:1217/yspios.php?id=cctvdszn
CCTV卫生健康频道,http://192.168.31.4:1217/yspios.php?id=cctvwsjk
中国教育电视台1频道,http://192.168.31.4:1217/yspios.php?id=cetv1
国学频道,http://192.168.31.4:1217/yspios.php?id=gxpd

北京卫视,http://192.168.31.4:1217/yspios.php?id=bjws
江苏卫视,http://192.168.31.4:1217/yspios.php?id=jsws
东方卫视,http://192.168.31.4:1217/yspios.php?id=dfws
浙江卫视,http://192.168.31.4:1217/yspios.php?id=zjws
湖南卫视,http://192.168.31.4:1217/yspios.php?id=hnws
湖北卫视,http://192.168.31.4:1217/yspios.php?id=hbws
广东卫视,http://192.168.31.4:1217/yspios.php?id=gdws
广西卫视,http://192.168.31.4:1217/yspios.php?id=gxws
黑龙江卫视,http://192.168.31.4:1217/yspios.php?id=hljws
海南卫视,http://192.168.31.4:1217/yspios.php?id=hnws2
重庆卫视,http://192.168.31.4:1217/yspios.php?id=cqws
深圳卫视,http://192.168.31.4:1217/yspios.php?id=szws
四川卫视,http://192.168.31.4:1217/yspios.php?id=scws
河南卫视,http://192.168.31.4:1217/yspios.php?id=henanws
福建东南卫视,http://192.168.31.4:1217/yspios.php?id=fjdnhz
贵州卫视,http://192.168.31.4:1217/yspios.php?id=gzhws
江西卫视,http://192.168.31.4:1217/yspios.php?id=jxws
辽宁卫视,http://192.168.31.4:1217/yspios.php?id=lnws
安徽卫视,http://192.168.31.4:1217/yspios.php?id=ahws
河北卫视,http://192.168.31.4:1217/yspios.php?id=hbws2
山东卫视,http://192.168.31.4:1217/yspios.php?id=sdws
天津卫视,http://192.168.31.4:1217/yspios.php?id=tjws
吉林卫视,http://192.168.31.4:1217/yspios.php?id=jlws
陕西卫视,http://192.168.31.4:1217/yspios.php?id=shanxiws
宁夏卫视,http://192.168.31.4:1217/yspios.php?id=nxws
内蒙古卫视,http://192.168.31.4:1217/yspios.php?id=nmgws
云南卫视,http://192.168.31.4:1217/yspios.php?id=ynws
山西卫视,http://192.168.31.4:1217/yspios.php?id=shanxiws2
青海卫视,http://192.168.31.4:1217/yspios.php?id=qhws
西藏卫视,http://192.168.31.4:1217/yspios.php?id=xzws
新疆卫视,http://192.168.31.4:1217/yspios.php?id=xjws

