湖北电信,#genre#
CCTV4k 超高清50P[3840x2160],http://0/udp/239.77.0.174:5146
CCTV4k 超高清[3840x2160],http://0/udp/239.77.0.194:5146
CCTV4k 超高清[3840x2160],http://0/udp/239.77.1.180:5146
广东综艺 宽色域AVS2(4k) (AVS2),http://0/udp/239.77.0.252:5146
广东4k超高清[3840x2160],http://0/udp/239.77.0.244:5146
广东4k超高清[3840x2160],http://0/udp/239.77.0.245:5146
广东4k超高清[3840x2160],http://0/udp/239.77.1.237:5146
CCTV1 综合[1920x1080],http://0/udp/239.77.0.119:5146
CCTV1 综合[1920x1080],http://0/udp/239.77.0.129:5146
CCTV1 综合[1920x1080],http://0/udp/239.77.0.86:5146
CCTV1 综合[1920x1080],http://0/udp/239.77.1.144:5146
CCTV1 综合[1920x1080],http://0/udp/239.77.1.17:5146
CCTV2 财经[1920x1080],http://0/udp/239.253.43.17:5146
CCTV2 财经[1920x1080],http://0/udp/239.77.0.137:5146
CCTV2 财经[1920x1080],http://0/udp/239.77.1.158:5146
CCTV3 综艺[1920x1080],http://0/udp/239.77.0.169:5146
CCTV3 综艺[1920x1080],http://0/udp/239.77.0.175:5146
CCTV4 中文国际[1920x1080],http://0/udp/239.77.0.78:5146
CCTV4 中文国际[1920x1080],http://0/udp/239.77.1.163:5146
CCTV4 中文国际[1920x1080],http://0/udp/239.77.1.166:5146
CCTV4 中文国际欧洲[1920x1080],http://0/udp/239.253.43.120:5146
CCTV5 体育[1920x1080],http://0/udp/239.77.0.170:5146
CCTV5 体育[1920x1080],http://0/udp/239.77.0.177:5146
CCTV5 中文国际美洲[1920x1080],http://0/udp/239.253.43.121:5146
CCTV5+ 体育赛事[1920x1080],http://0/udp/239.77.0.87:5146
CCTV5+ 体育赛事[1920x1080],http://0/udp/239.77.1.31:5146
CCTV6 电影[1920x1080],http://0/udp/239.77.0.171:5146
CCTV6 电影[1920x1080],http://0/udp/239.77.0.178:5146
CCTV7 国防军事[1920x1080],http://0/udp/239.77.0.138:5146
CCTV7 国防军事[1920x1080],http://0/udp/239.77.1.159:5146
CCTV7 国防军事[1920x1080],http://0/udp/239.77.1.167:5146
CCTV8 电视剧[1920x1080],http://0/udp/239.77.0.172:5146
CCTV8 电视剧[1920x1080],http://0/udp/239.77.0.181:5146
CCTV9 纪录[1920x1080],http://0/udp/239.77.0.135:5146
CCTV9 纪录[1920x1080],http://0/udp/239.77.1.160:5146
CCTV9 纪录[1920x1080],http://0/udp/239.77.1.168:5146
CCTV10 科教[1920x1080],http://0/udp/239.77.0.134:5146
CCTV10 科教[1920x1080],http://0/udp/239.77.1.113:5146
CCTV10 科教[1920x1080],http://0/udp/239.77.1.169:5146
CCTV11 戏曲[1920x1080],http://0/udp/239.77.1.238:5146
CCTV12 社会与法[1920x1080],http://0/udp/239.77.0.136:5146
CCTV12 社会与法[1920x1080],http://0/udp/239.77.1.109:5146
CCTV12 社会与法[1920x1080],http://0/udp/239.77.1.170:5146
CCTV13 新闻[1920x1080],http://0/udp/239.253.43.196:5146
CCTV13 新闻[1920x1080],http://0/udp/239.77.0.188:5146
CCTV14 少儿[1920x1080],http://0/udp/239.77.0.133:5146
CCTV14 少儿[1920x1080],http://0/udp/239.77.1.161:5146
CCTV14 少儿[1920x1080],http://0/udp/239.77.1.171:5146
CCTV15 音乐[1920x1080],http://0/udp/239.77.1.239:5146
CCTV16 奥林匹克[1920x1080],http://0/udp/239.77.0.165:5146
CCTV16 奥林匹克[1920x1080],http://0/udp/239.77.1.76:5146
CCTV17 农业农村[1920x1080],http://0/udp/239.77.0.198:5146
CCTV17 农业农村[1920x1080],http://0/udp/239.77.1.121:5146
CCTV兵器科技[1920x1080],http://0/udp/239.253.43.18:5146
CCTV兵器科技[1920x1080],http://0/udp/239.253.43.9:5146
CCTV第一剧场[1920x1080],http://0/udp/239.253.43.15:5146
CCTV第一剧场[1920x1080],http://0/udp/239.253.43.28:5146
CCTV电视指南[1920x1080],http://0/udp/239.253.43.10:5146
CCTV电视指南[1920x1080],http://0/udp/239.253.43.19:5146
CCTV风云剧场[1920x1080],http://0/udp/239.253.43.16:5146
CCTV风云剧场[1920x1080],http://0/udp/239.253.43.26:5146
CCTV风云音乐[1920x1080],http://0/udp/239.253.43.29:5146
CCTV风云音乐[1920x1080],http://0/udp/239.253.43.6:5146
CCTV风云足球[1920x1080],http://0/udp/239.253.43.14:5146
CCTV风云足球[1920x1080],http://0/udp/239.253.43.20:5146
CCTV高尔夫·网球[1920x1080],http://0/udp/239.253.43.12:5146
CCTV高尔夫·网球[1920x1080],http://0/udp/239.253.43.22:5146
CCTV怀旧剧场[1920x1080],http://0/udp/239.253.43.25:5146
CCTV怀旧剧场[1920x1080],http://0/udp/239.253.43.5:5146
CCTV女性时尚[1920x1080],http://0/udp/239.253.43.23:5146
CCTV女性时尚[1920x1080],http://0/udp/239.253.43.8:5146
CCTV世界地理[1920x1080],http://0/udp/239.253.43.24:5146
CCTV世界地理[1920x1080],http://0/udp/239.253.43.7:5146
CCTV央视台球[1920x1080],http://0/udp/239.253.43.11:5146
CCTV央视台球[1920x1080],http://0/udp/239.253.43.21:5146
CCTV央视文化精品[1920x1080],http://0/udp/239.253.43.13:5146
CCTV央视文化精品[1920x1080],http://0/udp/239.253.43.27:5146
CETV1[1920x1080],http://0/udp/239.77.0.200:5146
CETV1[1920x1080],http://0/udp/239.77.1.222:5146
CETV4[1920x1080],http://0/udp/239.253.43.114:5146
CETV4[1920x1080],http://0/udp/239.253.43.40:5146
CETV4[1920x1080],http://0/udp/239.77.1.200:5146
CETV早期教育[1920x1080],http://0/udp/239.77.0.180:5146
CGTN[1920x1080],http://0/udp/239.77.0.199:5146
CGTN阿拉伯语[1920x1080],http://0/udp/239.253.43.200:5146
CGTN俄罗斯语[1920x1080],http://0/udp/239.253.43.201:5146
CGTN法语[1920x1080],http://0/udp/239.77.0.228:5146
CGTN纪录[1920x1080],http://0/udp/239.253.43.122:5146
CGTN西班牙语[1920x1080],http://0/udp/239.77.0.221:5146
安徽卫视[1920x1080],http://0/udp/239.77.0.183:5146
安徽卫视[1920x1080],http://0/udp/239.77.1.157:5146
安徽卫视[1920x1080],http://0/udp/239.77.1.92:5146
北京卫视[1920x1080],http://0/udp/239.77.0.91:5146
北京卫视[1920x1080],http://0/udp/239.77.1.151:5146
北京卫视[1920x1080],http://0/udp/239.77.1.4:5146
